method,pool,cv_for_C,C_source,C,feature,selection_prob
stability,PRUNED_20,group_patient,auto,0.20691,mitral_flag,0.3
stability,PRUNED_20,group_patient,auto,0.20691,months_since_last_med_change,0.285
stability,PRUNED_20,group_patient,auto,0.20691,hf_flag,0.26
stability,PRUNED_20,group_patient,auto,0.20691,n_hcm_meds,0.205
stability,PRUNED_20,group_patient,auto,0.20691,med_switches_12m,0.135
stability,PRUNED_20,group_patient,auto,0.20691,dual_bb_ccb_current,0.0
stability,PRUNED_20,time_5,auto,0.33598,diso_ccb_combo_current,1.0
stability,PRUNED_20,time_5,auto,0.33598,cyp_inhibitor_active,1.0
stability,PRUNED_20,time_5,auto,0.33598,ccb_ever,1.0
stability,PRUNED_20,time_5,auto,0.33598,bb_current,1.0
stability,PRUNED_20,time_5,auto,0.33598,ccb_current,1.0
stability,PRUNED_20,time_5,auto,0.33598,strain_count_12m,1.0
stability,PRUNED_20,time_5,auto,0.33598,tte_count_12m,0.89
stability,PRUNED_20,time_5,auto,0.33598,er_or_inpatient_12m,0.865
stability,PRUNED_20,time_5,auto,0.33598,af_flag,0.86
stability,PRUNED_20,time_5,auto,0.33598,mri_ever,0.85
stability,PRUNED_20,time_5,auto,0.33598,echo_acceleration,0.85
stability,PRUNED_20,time_5,auto,0.33598,bnp_test_12m,0.765
stability,PRUNED_20,time_5,auto,0.33598,symptom_burden_12m,0.735
stability,PRUNED_20,time_5,auto,0.33598,high_em_count_12m,0.685
stability,PRUNED_20,time_5,auto,0.33598,bb_ever,0.67
stability,PRUNED_20,time_5,auto,0.33598,months_since_diso,0.65
stability,PRUNED_20,time_5,auto,0.33598,diso_mpr_12m,0.64
stability,PRUNED_20,time_5,auto,0.33598,age,0.625
stability,PRUNED_20,time_5,auto,0.33598,sex_F,0.615
stability,PRUNED_20,time_5,auto,0.33598,stress_count_12m,0.585
stability,PRUNED_20,time_5,auto,0.33598,med_switches_12m,0.555
stability,PRUNED_20,time_5,auto,0.33598,mitral_flag,0.53
stability,PRUNED_20,time_5,auto,0.33598,hf_flag,0.485
stability,PRUNED_20,time_5,auto,0.33598,months_since_last_med_change,0.35
stability,PRUNED_20,time_5,auto,0.33598,n_hcm_meds,0.28
stability,PRUNED_20,time_5,auto,0.33598,dual_bb_ccb_current,0.0
stability,PRUNED_20,manual,manual,0.01,age,0.0
stability,PRUNED_20,manual,manual,0.01,sex_F,0.0
stability,PRUNED_20,manual,manual,0.01,high_em_count_12m,0.0
stability,PRUNED_20,manual,manual,0.01,stress_count_12m,0.0
stability,PRUNED_20,manual,manual,0.01,symptom_burden_12m,0.0
stability,PRUNED_20,manual,manual,0.01,tte_count_12m,0.0
stability,PRUNED_20,manual,manual,0.01,diso_ccb_combo_current,0.0
stability,PRUNED_20,manual,manual,0.01,echo_acceleration,0.0
stability,PRUNED_20,manual,manual,0.01,dual_bb_ccb_current,0.0
stability,PRUNED_20,manual,manual,0.01,cyp_inhibitor_active,0.0
stability,PRUNED_20,manual,manual,0.01,diso_mpr_12m,0.0
stability,PRUNED_20,manual,manual,0.01,mitral_flag,0.0
stability,PRUNED_20,manual,manual,0.01,af_flag,0.0
stability,PRUNED_20,manual,manual,0.01,er_or_inpatient_12m,0.0
stability,PRUNED_20,manual,manual,0.01,strain_count_12m,0.0
stability,PRUNED_20,manual,manual,0.01,mri_ever,0.0
stability,PRUNED_20,manual,manual,0.01,med_switches_12m,0.0
stability,PRUNED_20,manual,manual,0.01,months_since_last_med_change,0.0
stability,PRUNED_20,manual,manual,0.01,ccb_current,0.0
stability,PRUNED_20,manual,manual,0.01,bb_current,0.0
stability,PRUNED_20,manual,manual,0.01,ccb_ever,0.0
stability,PRUNED_20,manual,manual,0.01,bb_ever,0.0
stability,PRUNED_20,manual,manual,0.01,hf_flag,0.0
stability,PRUNED_20,manual,manual,0.01,n_hcm_meds,0.0
stability,PRUNED_20,manual,manual,0.01,months_since_diso,0.0
stability,PRUNED_20,manual,manual,0.01,bnp_test_12m,0.0
stability,PRUNED_20,manual,manual,0.05,ccb_ever,1.0
stability,PRUNED_20,manual,manual,0.05,bb_current,0.695
stability,PRUNED_20,manual,manual,0.05,months_since_diso,0.18
stability,PRUNED_20,manual,manual,0.05,diso_ccb_combo_current,0.155
stability,PRUNED_20,manual,manual,0.05,n_hcm_meds,0.045
stability,PRUNED_20,manual,manual,0.05,mri_ever,0.045
stability,PRUNED_20,manual,manual,0.05,bnp_test_12m,0.025
stability,PRUNED_20,manual,manual,0.05,months_since_last_med_change,0.015
stability,PRUNED_20,manual,manual,0.05,strain_count_12m,0.01
stability,PRUNED_20,manual,manual,0.05,cyp_inhibitor_active,0.0
stability,PRUNED_20,manual,manual,0.05,high_em_count_12m,0.0
stability,PRUNED_20,manual,manual,0.05,stress_count_12m,0.0
stability,PRUNED_20,manual,manual,0.05,symptom_burden_12m,0.0
stability,PRUNED_20,manual,manual,0.05,tte_count_12m,0.0
stability,PRUNED_20,manual,manual,0.05,echo_acceleration,0.0
stability,PRUNED_20,manual,manual,0.05,dual_bb_ccb_current,0.0
stability,PRUNED_20,manual,manual,0.05,age,0.0
stability,PRUNED_20,manual,manual,0.05,diso_mpr_12m,0.0
stability,PRUNED_20,manual,manual,0.05,mitral_flag,0.0
stability,PRUNED_20,manual,manual,0.05,af_flag,0.0
stability,PRUNED_20,manual,manual,0.05,sex_F,0.0
stability,PRUNED_20,manual,manual,0.05,med_switches_12m,0.0
stability,PRUNED_20,manual,manual,0.05,ccb_current,0.0
stability,PRUNED_20,manual,manual,0.05,bb_ever,0.0
stability,PRUNED_20,manual,manual,0.05,hf_flag,0.0
stability,PRUNED_20,manual,manual,0.05,er_or_inpatient_12m,0.0
stability,PRUNED_20,manual,manual,0.1,ccb_ever,1.0
stability,PRUNED_20,manual,manual,0.1,bb_current,1.0
stability,PRUNED_20,manual,manual,0.1,strain_count_12m,0.86
stability,PRUNED_20,manual,manual,0.1,ccb_current,0.825
stability,PRUNED_20,manual,manual,0.1,diso_ccb_combo_current,0.66
stability,PRUNED_20,manual,manual,0.1,months_since_diso,0.57
stability,PRUNED_20,manual,manual,0.1,mri_ever,0.535
stability,PRUNED_20,manual,manual,0.1,er_or_inpatient_12m,0.415
stability,PRUNED_20,manual,manual,0.1,bnp_test_12m,0.415
stability,PRUNED_20,manual,manual,0.1,cyp_inhibitor_active,0.33
stability,PRUNED_20,manual,manual,0.1,af_flag,0.23
stability,PRUNED_20,manual,manual,0.1,months_since_last_med_change,0.195
stability,PRUNED_20,manual,manual,0.1,symptom_burden_12m,0.19
stability,PRUNED_20,manual,manual,0.1,n_hcm_meds,0.18
stability,PRUNED_20,manual,manual,0.1,high_em_count_12m,0.12
stability,PRUNED_20,manual,manual,0.1,echo_acceleration,0.105
stability,PRUNED_20,manual,manual,0.1,stress_count_12m,0.075
stability,PRUNED_20,manual,manual,0.1,sex_F,0.055
stability,PRUNED_20,manual,manual,0.1,tte_count_12m,0.055
stability,PRUNED_20,manual,manual,0.1,age,0.04
stability,PRUNED_20,manual,manual,0.1,mitral_flag,0.035
stability,PRUNED_20,manual,manual,0.1,hf_flag,0.01
stability,PRUNED_20,manual,manual,0.1,med_switches_12m,0.01
stability,PRUNED_20,manual,manual,0.1,diso_mpr_12m,0.005
stability,PRUNED_20,manual,manual,0.1,bb_ever,0.0
stability,PRUNED_20,manual,manual,0.1,dual_bb_ccb_current,0.0
stability,PRUNED_20,manual,manual,0.5,diso_ccb_combo_current,1.0
stability,PRUNED_20,manual,manual,0.5,cyp_inhibitor_active,1.0
stability,PRUNED_20,manual,manual,0.5,ccb_ever,1.0
stability,PRUNED_20,manual,manual,0.5,bb_current,1.0
stability,PRUNED_20,manual,manual,0.5,ccb_current,1.0
stability,PRUNED_20,manual,manual,0.5,strain_count_12m,1.0
stability,PRUNED_20,manual,manual,0.5,tte_count_12m,0.975
stability,PRUNED_20,manual,manual,0.5,echo_acceleration,0.94
stability,PRUNED_20,manual,manual,0.5,af_flag,0.94
stability,PRUNED_20,manual,manual,0.5,er_or_inpatient_12m,0.915
stability,PRUNED_20,manual,manual,0.5,mri_ever,0.9
stability,PRUNED_20,manual,manual,0.5,bnp_test_12m,0.815
stability,PRUNED_20,manual,manual,0.5,bb_ever,0.79
stability,PRUNED_20,manual,manual,0.5,symptom_burden_12m,0.79
stability,PRUNED_20,manual,manual,0.5,diso_mpr_12m,0.785
stability,PRUNED_20,manual,manual,0.5,med_switches_12m,0.78
stability,PRUNED_20,manual,manual,0.5,high_em_count_12m,0.775
stability,PRUNED_20,manual,manual,0.5,sex_F,0.755
stability,PRUNED_20,manual,manual,0.5,stress_count_12m,0.735
stability,PRUNED_20,manual,manual,0.5,age,0.71
stability,PRUNED_20,manual,manual,0.5,mitral_flag,0.69
stability,PRUNED_20,manual,manual,0.5,months_since_diso,0.69
stability,PRUNED_20,manual,manual,0.5,hf_flag,0.625
stability,PRUNED_20,manual,manual,0.5,months_since_last_med_change,0.43
stability,PRUNED_20,manual,manual,0.5,n_hcm_meds,0.395
stability,PRUNED_20,manual,manual,0.5,dual_bb_ccb_current,0.01
stability,PRUNED_20,manual,manual,1.0,diso_ccb_combo_current,1.0
stability,PRUNED_20,manual,manual,1.0,ccb_ever,1.0
stability,PRUNED_20,manual,manual,1.0,bb_current,1.0
stability,PRUNED_20,manual,manual,1.0,ccb_current,1.0
stability,PRUNED_20,manual,manual,1.0,cyp_inhibitor_active,1.0
stability,PRUNED_20,manual,manual,1.0,strain_count_12m,1.0
stability,PRUNED_20,manual,manual,1.0,tte_count_12m,0.995
stability,PRUNED_20,manual,manual,1.0,echo_acceleration,0.99
stability,PRUNED_20,manual,manual,1.0,af_flag,0.985
stability,PRUNED_20,manual,manual,1.0,mri_ever,0.96
stability,PRUNED_20,manual,manual,1.0,er_or_inpatient_12m,0.955
stability,PRUNED_20,manual,manual,1.0,diso_mpr_12m,0.92
stability,PRUNED_20,manual,manual,1.0,sex_F,0.92
stability,PRUNED_20,manual,manual,1.0,symptom_burden_12m,0.895
stability,PRUNED_20,manual,manual,1.0,bnp_test_12m,0.895
stability,PRUNED_20,manual,manual,1.0,med_switches_12m,0.895
stability,PRUNED_20,manual,manual,1.0,stress_count_12m,0.875
stability,PRUNED_20,manual,manual,1.0,high_em_count_12m,0.87
stability,PRUNED_20,manual,manual,1.0,bb_ever,0.865
stability,PRUNED_20,manual,manual,1.0,age,0.865
stability,PRUNED_20,manual,manual,1.0,hf_flag,0.82
stability,PRUNED_20,manual,manual,1.0,mitral_flag,0.805
stability,PRUNED_20,manual,manual,1.0,months_since_diso,0.755
stability,PRUNED_20,manual,manual,1.0,months_since_last_med_change,0.63
stability,PRUNED_20,manual,manual,1.0,n_hcm_meds,0.6
stability,PRUNED_20,manual,manual,1.0,dual_bb_ccb_current,0.28
stability,COMPACT_14,random_5,auto,0.12743,ccb_ever,1.0
stability,COMPACT_14,random_5,auto,0.12743,bb_current,1.0
stability,COMPACT_14,random_5,auto,0.12743,ccb_current,0.9
stability,COMPACT_14,random_5,auto,0.12743,months_since_diso,0.69
stability,COMPACT_14,random_5,auto,0.12743,mri_ever,0.645
stability,COMPACT_14,random_5,auto,0.12743,af_flag,0.375
stability,COMPACT_14,random_5,auto,0.12743,months_since_last_med_change,0.355
stability,COMPACT_14,random_5,auto,0.12743,n_hcm_meds,0.265
stability,COMPACT_14,random_5,auto,0.12743,age,0.175
stability,COMPACT_14,random_5,auto,0.12743,sex_F,0.14
stability,COMPACT_14,random_5,auto,0.12743,mitral_flag,0.09
stability,COMPACT_14,random_5,auto,0.12743,hf_flag,0.07
stability,COMPACT_14,random_5,auto,0.12743,diso_mpr_12m,0.035
stability,COMPACT_14,random_5,auto,0.12743,bb_ever,0.03
stability,COMPACT_14,random_10,auto,0.12743,ccb_ever,1.0
stability,COMPACT_14,random_10,auto,0.12743,bb_current,1.0
stability,COMPACT_14,random_10,auto,0.12743,ccb_current,0.9
stability,COMPACT_14,random_10,auto,0.12743,months_since_diso,0.69
stability,COMPACT_14,random_10,auto,0.12743,mri_ever,0.645
stability,COMPACT_14,random_10,auto,0.12743,af_flag,0.375
stability,COMPACT_14,random_10,auto,0.12743,months_since_last_med_change,0.355
stability,COMPACT_14,random_10,auto,0.12743,n_hcm_meds,0.265
stability,COMPACT_14,random_10,auto,0.12743,age,0.175
stability,COMPACT_14,random_10,auto,0.12743,sex_F,0.14
stability,COMPACT_14,random_10,auto,0.12743,mitral_flag,0.09
stability,COMPACT_14,random_10,auto,0.12743,hf_flag,0.07
stability,COMPACT_14,random_10,auto,0.12743,diso_mpr_12m,0.035
stability,COMPACT_14,random_10,auto,0.12743,bb_ever,0.03
stability,COMPACT_14,group_patient,auto,0.12743,ccb_ever,1.0
stability,COMPACT_14,group_patient,auto,0.12743,bb_current,1.0
stability,COMPACT_14,group_patient,auto,0.12743,ccb_current,0.9
stability,COMPACT_14,group_patient,auto,0.12743,months_since_diso,0.69
stability,COMPACT_14,group_patient,auto,0.12743,mri_ever,0.645
stability,COMPACT_14,group_patient,auto,0.12743,af_flag,0.375
stability,COMPACT_14,group_patient,auto,0.12743,months_since_last_med_change,0.355
stability,COMPACT_14,group_patient,auto,0.12743,n_hcm_meds,0.265
stability,COMPACT_14,group_patient,auto,0.12743,age,0.175
stability,COMPACT_14,group_patient,auto,0.12743,sex_F,0.14
stability,COMPACT_14,group_patient,auto,0.12743,mitral_flag,0.09
stability,COMPACT_14,group_patient,auto,0.12743,hf_flag,0.07
stability,COMPACT_14,group_patient,auto,0.12743,diso_mpr_12m,0.035
stability,COMPACT_14,group_patient,auto,0.12743,bb_ever,0.03
stability,COMPACT_14,time_5,auto,0.20691,ccb_ever,1.0
stability,COMPACT_14,time_5,auto,0.20691,bb_current,1.0
stability,COMPACT_14,time_5,auto,0.20691,ccb_current,0.995
stability,COMPACT_14,time_5,auto,0.20691,mri_ever,0.775
stability,COMPACT_14,time_5,auto,0.20691,months_since_diso,0.745
stability,COMPACT_14,time_5,auto,0.20691,af_flag,0.655
stability,COMPACT_14,time_5,auto,0.20691,months_since_last_med_change,0.465
stability,COMPACT_14,time_5,auto,0.20691,age,0.43
stability,COMPACT_14,time_5,auto,0.20691,sex_F,0.405
stability,COMPACT_14,time_5,auto,0.20691,bb_ever,0.37
stability,COMPACT_14,time_5,auto,0.20691,n_hcm_meds,0.35
stability,COMPACT_14,time_5,auto,0.20691,mitral_flag,0.3
stability,COMPACT_14,time_5,auto,0.20691,hf_flag,0.28
stability,COMPACT_14,time_5,auto,0.20691,diso_mpr_12m,0.23
stability,COMPACT_14,manual,manual,0.01,age,0.0
stability,COMPACT_14,manual,manual,0.01,sex_F,0.0
stability,COMPACT_14,manual,manual,0.01,months_since_diso,0.0
stability,COMPACT_14,manual,manual,0.01,n_hcm_meds,0.0
stability,COMPACT_14,manual,manual,0.01,hf_flag,0.0
stability,COMPACT_14,manual,manual,0.01,bb_ever,0.0
stability,COMPACT_14,manual,manual,0.01,ccb_ever,0.0
stability,COMPACT_14,manual,manual,0.01,bb_current,0.0
stability,COMPACT_14,manual,manual,0.01,ccb_current,0.0
stability,COMPACT_14,manual,manual,0.01,months_since_last_med_change,0.0
stability,COMPACT_14,manual,manual,0.01,mri_ever,0.0
stability,COMPACT_14,manual,manual,0.01,af_flag,0.0
stability,COMPACT_14,manual,manual,0.01,mitral_flag,0.0
stability,COMPACT_14,manual,manual,0.01,diso_mpr_12m,0.0
stability,COMPACT_14,manual,manual,0.05,ccb_ever,1.0
stability,COMPACT_14,manual,manual,0.05,bb_current,0.7
stability,COMPACT_14,manual,manual,0.05,months_since_diso,0.185
stability,COMPACT_14,manual,manual,0.05,n_hcm_meds,0.045
stability,COMPACT_14,manual,manual,0.05,mri_ever,0.045
stability,COMPACT_14,manual,manual,0.05,months_since_last_med_change,0.015
stability,COMPACT_14,manual,manual,0.05,age,0.0
stability,COMPACT_14,manual,manual,0.05,sex_F,0.0
stability,COMPACT_14,manual,manual,0.05,hf_flag,0.0
stability,COMPACT_14,manual,manual,0.05,bb_ever,0.0
stability,COMPACT_14,manual,manual,0.05,ccb_current,0.0
stability,COMPACT_14,manual,manual,0.05,af_flag,0.0
stability,COMPACT_14,manual,manual,0.05,mitral_flag,0.0
stability,COMPACT_14,manual,manual,0.05,diso_mpr_12m,0.0
stability,COMPACT_14,manual,manual,0.1,ccb_ever,1.0
stability,COMPACT_14,manual,manual,0.1,bb_current,1.0
stability,COMPACT_14,manual,manual,0.1,ccb_current,0.685
stability,COMPACT_14,manual,manual,0.1,months_since_diso,0.61
stability,COMPACT_14,manual,manual,0.1,mri_ever,0.53
stability,COMPACT_14,manual,manual,0.1,months_since_last_med_change,0.26
stability,COMPACT_14,manual,manual,0.1,n_hcm_meds,0.21
stability,COMPACT_14,manual,manual,0.1,af_flag,0.21
stability,COMPACT_14,manual,manual,0.1,age,0.055
stability,COMPACT_14,manual,manual,0.1,sex_F,0.05
stability,COMPACT_14,manual,manual,0.1,mitral_flag,0.035
stability,COMPACT_14,manual,manual,0.1,hf_flag,0.025
stability,COMPACT_14,manual,manual,0.1,diso_mpr_12m,0.01
stability,COMPACT_14,manual,manual,0.1,bb_ever,0.0
stability,COMPACT_14,manual,manual,0.5,ccb_ever,1.0
stability,COMPACT_14,manual,manual,0.5,bb_current,1.0
stability,COMPACT_14,manual,manual,0.5,ccb_current,1.0
stability,COMPACT_14,manual,manual,0.5,mri_ever,0.905
stability,COMPACT_14,manual,manual,0.5,af_flag,0.87
stability,COMPACT_14,manual,manual,0.5,months_since_diso,0.785
stability,COMPACT_14,manual,manual,0.5,bb_ever,0.785
stability,COMPACT_14,manual,manual,0.5,sex_F,0.755
stability,COMPACT_14,manual,manual,0.5,age,0.725
stability,COMPACT_14,manual,manual,0.5,mitral_flag,0.675
stability,COMPACT_14,manual,manual,0.5,hf_flag,0.67
stability,COMPACT_14,manual,manual,0.5,diso_mpr_12m,0.635
stability,COMPACT_14,manual,manual,0.5,n_hcm_meds,0.59
stability,COMPACT_14,manual,manual,0.5,months_since_last_med_change,0.5
stability,COMPACT_14,manual,manual,1.0,ccb_ever,1.0
stability,COMPACT_14,manual,manual,1.0,bb_current,1.0
stability,COMPACT_14,manual,manual,1.0,ccb_current,1.0
stability,COMPACT_14,manual,manual,1.0,mri_ever,0.98
stability,COMPACT_14,manual,manual,1.0,af_flag,0.945
stability,COMPACT_14,manual,manual,1.0,age,0.88
stability,COMPACT_14,manual,manual,1.0,sex_F,0.88
stability,COMPACT_14,manual,manual,1.0,bb_ever,0.88
stability,COMPACT_14,manual,manual,1.0,hf_flag,0.85
stability,COMPACT_14,manual,manual,1.0,months_since_diso,0.83
stability,COMPACT_14,manual,manual,1.0,diso_mpr_12m,0.825
stability,COMPACT_14,manual,manual,1.0,mitral_flag,0.8
stability,COMPACT_14,manual,manual,1.0,n_hcm_meds,0.755
stability,COMPACT_14,manual,manual,1.0,months_since_last_med_change,0.66
