method,pool,cv_for_C,C,n_bootstrap,sample_frac,threshold,n_selected,selected,refined_covered,refined_missing
stability,PRUNED_20,group_patient,0.20691,200.0,0.9,0.8,14,"er_or_inpatient_12m, diso_ccb_combo_current, cyp_inhibitor_active, ccb_ever, bb_current, ccb_current, strain_count_12m, af_flag, mri_ever, tte_count_12m, bnp_test_12m, months_since_diso, echo_acceleration, symptom_burden_12m",5,n_hcm_meds
stability,COMPACT_14,random_5,0.12743,200.0,0.7,0.5,5,"ccb_ever, bb_current, ccb_current, months_since_diso, mri_ever",5,n_hcm_meds
stability,COMPACT_14,random_5,0.12743,200.0,0.7,0.6,5,"ccb_ever, bb_current, ccb_current, months_since_diso, mri_ever",5,n_hcm_meds
stability,COMPACT_14,random_5,0.12743,200.0,0.7,0.7,3,"ccb_ever, bb_current, ccb_current",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,COMPACT_14,random_5,0.12743,200.0,0.7,0.8,3,"ccb_ever, bb_current, ccb_current",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,COMPACT_14,random_10,0.12743,200.0,0.7,0.5,5,"ccb_ever, bb_current, ccb_current, months_since_diso, mri_ever",5,n_hcm_meds
stability,COMPACT_14,random_10,0.12743,200.0,0.7,0.6,5,"ccb_ever, bb_current, ccb_current, months_since_diso, mri_ever",5,n_hcm_meds
stability,COMPACT_14,random_10,0.12743,200.0,0.7,0.7,3,"ccb_ever, bb_current, ccb_current",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,COMPACT_14,random_10,0.12743,200.0,0.7,0.8,3,"ccb_ever, bb_current, ccb_current",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,COMPACT_14,group_patient,0.12743,200.0,0.7,0.5,5,"ccb_ever, bb_current, ccb_current, months_since_diso, mri_ever",5,n_hcm_meds
stability,COMPACT_14,group_patient,0.12743,200.0,0.7,0.6,5,"ccb_ever, bb_current, ccb_current, months_since_diso, mri_ever",5,n_hcm_meds
stability,COMPACT_14,group_patient,0.12743,200.0,0.7,0.7,3,"ccb_ever, bb_current, ccb_current",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,COMPACT_14,group_patient,0.12743,200.0,0.7,0.8,3,"ccb_ever, bb_current, ccb_current",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,COMPACT_14,time_5,0.20691,200.0,0.7,0.5,6,"ccb_ever, bb_current, ccb_current, mri_ever, months_since_diso, af_flag",5,n_hcm_meds
stability,COMPACT_14,time_5,0.20691,200.0,0.7,0.6,6,"ccb_ever, bb_current, ccb_current, mri_ever, months_since_diso, af_flag",5,n_hcm_meds
stability,COMPACT_14,time_5,0.20691,200.0,0.7,0.7,5,"ccb_ever, bb_current, ccb_current, mri_ever, months_since_diso",5,n_hcm_meds
stability,COMPACT_14,time_5,0.20691,200.0,0.7,0.8,3,"ccb_ever, bb_current, ccb_current",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,COMPACT_14,manual,0.01,200.0,0.7,0.5,0,,0,"bb_current, ccb_current, ccb_ever, months_since_diso, mri_ever, n_hcm_meds"
stability,COMPACT_14,manual,0.01,200.0,0.7,0.6,0,,0,"bb_current, ccb_current, ccb_ever, months_since_diso, mri_ever, n_hcm_meds"
stability,COMPACT_14,manual,0.01,200.0,0.7,0.7,0,,0,"bb_current, ccb_current, ccb_ever, months_since_diso, mri_ever, n_hcm_meds"
stability,COMPACT_14,manual,0.01,200.0,0.7,0.8,0,,0,"bb_current, ccb_current, ccb_ever, months_since_diso, mri_ever, n_hcm_meds"
stability,COMPACT_14,manual,0.05,200.0,0.7,0.5,2,"ccb_ever, bb_current",2,"ccb_current, months_since_diso, mri_ever, n_hcm_meds"
stability,COMPACT_14,manual,0.05,200.0,0.7,0.6,2,"ccb_ever, bb_current",2,"ccb_current, months_since_diso, mri_ever, n_hcm_meds"
stability,COMPACT_14,manual,0.05,200.0,0.7,0.7,2,"ccb_ever, bb_current",2,"ccb_current, months_since_diso, mri_ever, n_hcm_meds"
stability,COMPACT_14,manual,0.05,200.0,0.7,0.8,1,ccb_ever,1,"bb_current, ccb_current, months_since_diso, mri_ever, n_hcm_meds"
stability,COMPACT_14,manual,0.1,200.0,0.7,0.5,5,"ccb_ever, bb_current, ccb_current, months_since_diso, mri_ever",5,n_hcm_meds
stability,COMPACT_14,manual,0.1,200.0,0.7,0.6,4,"ccb_ever, bb_current, ccb_current, months_since_diso",4,"mri_ever, n_hcm_meds"
stability,COMPACT_14,manual,0.1,200.0,0.7,0.7,2,"ccb_ever, bb_current",2,"ccb_current, months_since_diso, mri_ever, n_hcm_meds"
stability,COMPACT_14,manual,0.1,200.0,0.7,0.8,2,"ccb_ever, bb_current",2,"ccb_current, months_since_diso, mri_ever, n_hcm_meds"
stability,COMPACT_14,manual,0.5,200.0,0.7,0.5,14,"ccb_ever, bb_current, ccb_current, mri_ever, af_flag, months_since_diso, bb_ever, sex_F, age, mitral_flag, hf_flag, diso_mpr_12m, n_hcm_meds, months_since_last_med_change",6,
stability,COMPACT_14,manual,0.5,200.0,0.7,0.6,12,"ccb_ever, bb_current, ccb_current, mri_ever, af_flag, months_since_diso, bb_ever, sex_F, age, mitral_flag, hf_flag, diso_mpr_12m",5,n_hcm_meds
stability,COMPACT_14,manual,0.5,200.0,0.7,0.7,9,"ccb_ever, bb_current, ccb_current, mri_ever, af_flag, months_since_diso, bb_ever, sex_F, age",5,n_hcm_meds
stability,COMPACT_14,manual,0.5,200.0,0.7,0.8,5,"ccb_ever, bb_current, ccb_current, mri_ever, af_flag",4,"months_since_diso, n_hcm_meds"
stability,COMPACT_14,manual,1.0,200.0,0.7,0.5,14,"ccb_ever, bb_current, ccb_current, mri_ever, af_flag, age, sex_F, bb_ever, hf_flag, months_since_diso, diso_mpr_12m, mitral_flag, n_hcm_meds, months_since_last_med_change",6,
stability,COMPACT_14,manual,1.0,200.0,0.7,0.6,14,"ccb_ever, bb_current, ccb_current, mri_ever, af_flag, age, sex_F, bb_ever, hf_flag, months_since_diso, diso_mpr_12m, mitral_flag, n_hcm_meds, months_since_last_med_change",6,
stability,COMPACT_14,manual,1.0,200.0,0.7,0.7,13,"ccb_ever, bb_current, ccb_current, mri_ever, af_flag, age, sex_F, bb_ever, hf_flag, months_since_diso, diso_mpr_12m, mitral_flag, n_hcm_meds",6,
stability,COMPACT_14,manual,1.0,200.0,0.7,0.8,12,"ccb_ever, bb_current, ccb_current, mri_ever, af_flag, age, sex_F, bb_ever, hf_flag, months_since_diso, diso_mpr_12m, mitral_flag",5,n_hcm_meds
stability,COMPACT_14,group_patient,0.12743,400.0,0.7,0.5,5,"ccb_ever, bb_current, ccb_current, months_since_diso, mri_ever",5,n_hcm_meds
stability,COMPACT_14,group_patient,0.12743,400.0,0.7,0.6,5,"ccb_ever, bb_current, ccb_current, months_since_diso, mri_ever",5,n_hcm_meds
stability,COMPACT_14,group_patient,0.12743,400.0,0.7,0.7,4,"ccb_ever, bb_current, ccb_current, months_since_diso",4,"mri_ever, n_hcm_meds"
stability,COMPACT_14,group_patient,0.12743,400.0,0.7,0.8,3,"ccb_ever, bb_current, ccb_current",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,COMPACT_14,group_patient,0.12743,200.0,0.5,0.5,4,"ccb_ever, bb_current, months_since_diso, ccb_current",4,"mri_ever, n_hcm_meds"
stability,COMPACT_14,group_patient,0.12743,200.0,0.5,0.6,2,"ccb_ever, bb_current",2,"ccb_current, months_since_diso, mri_ever, n_hcm_meds"
stability,COMPACT_14,group_patient,0.12743,200.0,0.5,0.7,2,"ccb_ever, bb_current",2,"ccb_current, months_since_diso, mri_ever, n_hcm_meds"
stability,COMPACT_14,group_patient,0.12743,200.0,0.5,0.8,2,"ccb_ever, bb_current",2,"ccb_current, months_since_diso, mri_ever, n_hcm_meds"
stability,COMPACT_14,group_patient,0.12743,200.0,0.9,0.5,6,"ccb_ever, bb_current, ccb_current, months_since_diso, mri_ever, af_flag",5,n_hcm_meds
stability,COMPACT_14,group_patient,0.12743,200.0,0.9,0.6,6,"ccb_ever, bb_current, ccb_current, months_since_diso, mri_ever, af_flag",5,n_hcm_meds
stability,COMPACT_14,group_patient,0.12743,200.0,0.9,0.7,5,"ccb_ever, bb_current, ccb_current, months_since_diso, mri_ever",5,n_hcm_meds
stability,COMPACT_14,group_patient,0.12743,200.0,0.9,0.8,5,"ccb_ever, bb_current, ccb_current, months_since_diso, mri_ever",5,n_hcm_meds
lasso_1shot,EXPANDED_36,random_5,0.12743,,,,15,"months_since_diso, ccb_ever, bb_current, ccb_current, mri_ever, strain_count_12m, er_or_inpatient_12m, af_flag, cyp_inhibitor_active, diso_ccb_combo_current, symptom_burden_12m, stress_count_3m, stress_count_6m, bnp_test_3m, bnp_test_6m",5,n_hcm_meds
lasso_1shot,EXPANDED_36,random_10,0.12743,,,,15,"months_since_diso, ccb_ever, bb_current, ccb_current, mri_ever, strain_count_12m, er_or_inpatient_12m, af_flag, cyp_inhibitor_active, diso_ccb_combo_current, symptom_burden_12m, stress_count_3m, stress_count_6m, bnp_test_3m, bnp_test_6m",5,n_hcm_meds
lasso_1shot,EXPANDED_36,group_patient,0.20691,,,,21,"months_since_diso, bb_ever, ccb_ever, bb_current, ccb_current, mri_ever, strain_count_12m, er_or_inpatient_12m, af_flag, diso_mpr_12m, cyp_inhibitor_active, echo_acceleration, diso_ccb_combo_current, tte_count_3m, tte_count_12m, symptom_burden_12m, stress_count_3m, stress_count_6m, high_em_count_6m, bnp_test_3m, bnp_test_6m",5,n_hcm_meds
lasso_1shot,EXPANDED_36,time_5,0.20691,,,,21,"months_since_diso, bb_ever, ccb_ever, bb_current, ccb_current, mri_ever, strain_count_12m, er_or_inpatient_12m, af_flag, diso_mpr_12m, cyp_inhibitor_active, echo_acceleration, diso_ccb_combo_current, tte_count_3m, tte_count_12m, symptom_burden_12m, stress_count_3m, stress_count_6m, high_em_count_6m, bnp_test_3m, bnp_test_6m",5,n_hcm_meds
lasso_1shot,PRUNED_20,random_5,0.20691,,,,18,"months_since_diso, bb_ever, ccb_ever, bb_current, ccb_current, mri_ever, strain_count_12m, er_or_inpatient_12m, af_flag, diso_mpr_12m, cyp_inhibitor_active, echo_acceleration, diso_ccb_combo_current, tte_count_12m, symptom_burden_12m, stress_count_12m, high_em_count_12m, bnp_test_12m",5,n_hcm_meds
lasso_1shot,PRUNED_20,random_10,0.20691,,,,18,"months_since_diso, bb_ever, ccb_ever, bb_current, ccb_current, mri_ever, strain_count_12m, er_or_inpatient_12m, af_flag, diso_mpr_12m, cyp_inhibitor_active, echo_acceleration, diso_ccb_combo_current, tte_count_12m, symptom_burden_12m, stress_count_12m, high_em_count_12m, bnp_test_12m",5,n_hcm_meds
lasso_1shot,PRUNED_20,group_patient,0.20691,,,,18,"months_since_diso, bb_ever, ccb_ever, bb_current, ccb_current, mri_ever, strain_count_12m, er_or_inpatient_12m, af_flag, diso_mpr_12m, cyp_inhibitor_active, echo_acceleration, diso_ccb_combo_current, tte_count_12m, symptom_burden_12m, stress_count_12m, high_em_count_12m, bnp_test_12m",5,n_hcm_meds
lasso_1shot,PRUNED_20,time_5,0.33598,,,,21,"age, sex_F, months_since_diso, bb_ever, ccb_ever, bb_current, ccb_current, med_switches_12m, mri_ever, strain_count_12m, er_or_inpatient_12m, af_flag, diso_mpr_12m, cyp_inhibitor_active, echo_acceleration, diso_ccb_combo_current, tte_count_12m, symptom_burden_12m, stress_count_12m, high_em_count_12m, bnp_test_12m",5,n_hcm_meds
lasso_1shot,COMPACT_14,random_5,0.12743,,,,6,"months_since_diso, ccb_ever, bb_current, ccb_current, mri_ever, af_flag",5,n_hcm_meds
lasso_1shot,COMPACT_14,random_10,0.12743,,,,6,"months_since_diso, ccb_ever, bb_current, ccb_current, mri_ever, af_flag",5,n_hcm_meds
lasso_1shot,COMPACT_14,group_patient,0.12743,,,,6,"months_since_diso, ccb_ever, bb_current, ccb_current, mri_ever, af_flag",5,n_hcm_meds
lasso_1shot,COMPACT_14,time_5,0.20691,,,,7,"months_since_diso, ccb_ever, bb_current, ccb_current, months_since_last_med_change, mri_ever, af_flag",5,n_hcm_meds
